名前,説明,タイムコード,カラー
x,,00:00:01:11,green
oon,,00:00:09:39,green
ooff,,00:00:10:00,green
o,,00:00:10:21,green
x,,00:00:10:51,green
x,,00:00:11:22,green
x,,00:00:12:24,green
o,,00:00:12:45,green
x,,00:00:13:05,green
o,,00:00:13:46,green
x,,00:00:14:06,green
o,,00:00:14:26,green
son,,00:00:15:07,green
soff,,00:00:15:28,green
s,,00:00:15:48,green
t,,00:00:16:19,green
t,,00:00:16:50,green
s,,00:00:17:51,green
s,,00:00:18:11,green
s,,00:00:18:32,green
t,,00:00:18:53,green
t,,00:00:19:13,green
o,,00:00:19:33,green
o,,00:00:19:54,green
s,,00:00:20:35,green
s,,00:00:21:15,green
x,,00:00:21:46,green
x,,00:00:22:17,green
o,,00:00:23:18,green
o,,00:00:23:48,green
o,,00:00:24:00,green
o,,00:00:24:19,green
o,,00:00:24:29,green
s,,00:00:25:00,green
s,,00:00:25:21,green
s,,00:00:25:31,green
t,,00:00:26:01,green
t,,00:00:26:42,green
t,,00:00:27:03,green
t,,00:00:27:13,green
s,,00:00:27:43,green
s,,00:00:28:04,green
s,,00:00:28:24,green
oon,,00:00:28:46,green
ooff,,00:00:29:46,green
s,,00:00:31:29,green
s,,00:00:32:10,green
x,,00:00:32:41,green
x,,00:00:33:11,green
o,,00:00:34:13,green
o,,00:00:34:54,green
o,,00:00:35:14,green
o,,00:00:35:24,green
s,,00:00:35:55,green
s,,00:00:36:16,green
s,,00:00:36:26,green
x,,00:00:36:56,green
x,,00:00:37:37,green
t,,00:00:38:18,green
t,,00:00:38:38,green
t,,00:00:38:59,green
t,,00:00:39:19,green
ton,,00:00:39:40,green
toff,,00:00:40:21,green
t,,00:00:41:02,green
s,,00:00:41:23,green
x,,00:00:41:42,green
o,,00:00:42:03,green
oon,,00:00:42:22,green
ooff,,00:00:43:05,green
xon,,00:00:43:45,green
xoff,,00:00:44:26,green
oon,,00:00:45:07,green
ooff,,00:00:45:49,green
s,,00:00:46:19,green
t,,00:00:46:40,green
x,,00:00:47:00,green
x,,00:00:47:10,green
x,,00:00:47:31,green
oon,,00:00:47:51,green
ooff,,00:00:48:33,green
xon,,00:00:49:12,green
xoff,,00:00:49:54,green
o,,00:00:50:35,green
o,,00:00:50:55,green
o,,00:00:51:15,green
s,,00:00:51:31,green
s,,00:00:51:47,green
t,,00:00:52:17,green
t,,00:00:52:37,green
t,,00:00:52:57,green
ton,,00:00:53:18,green
toff,,00:00:53:59,green
ton,,00:00:54:40,green
toff,,00:00:55:22,green
o,,00:00:55:51,green
o,,00:00:56:02,green
x,,00:00:56:22,green
x,,00:00:56:42,green
s,,00:00:57:13,green
t,,00:00:57:39,green
o,,00:00:57:59,green
o,,00:00:58:09,green
t,,00:00:58:45,green
ton,,00:00:59:07,green
toff,,00:00:59:27,green
t,,00:01:00:07,green
ton,,00:01:00:27,green
toff,,00:01:00:48,green
oon,,00:01:01:29,green
ooff,,00:01:01:50,green
o,,00:01:02:00,green
x,,00:01:02:21,green
xon,,00:01:02:31,green
xoff,,00:01:02:51,green
s,,00:01:03:12,green
t,,00:01:03:32,green
o,,00:01:03:53,green
t,,00:01:04:13,green
ton,,00:01:04:33,green
toff,,00:01:04:54,green
t,,00:01:05:34,green
ton,,00:01:05:56,green
toff,,00:01:06:16,green
o,,00:01:06:47,green
oon,,00:01:06:57,green
ooff,,00:01:07:17,green
x,,00:01:07:37,green
s,,00:01:08:03,green
t,,00:01:08:38,green
o,,00:01:09:00,green
o,,00:01:09:10,green
s,,00:01:10:01,green
s,,00:01:10:41,green
x,,00:01:11:01,green
x,,00:01:11:42,green
xon,,00:01:12:22,green
xoff,,00:01:13:03,green
x,,00:01:13:45,green
x,,00:01:13:55,green
x,,00:01:14:05,green
o,,00:01:14:16,green
o,,00:01:14:47,green
t,,00:01:15:07,green
ton,,00:01:15:28,green
toff,,00:01:16:29,green
oon,,00:01:17:50,green
ooff,,00:01:18:12,green
o,,00:01:18:32,green
x,,00:01:19:02,green
x,,00:01:19:33,green
x,,00:01:20:35,green
o,,00:01:20:55,green
x,,00:01:21:16,green
o,,00:01:21:56,green
x,,00:01:22:17,green
o,,00:01:22:38,green
son,,00:01:23:18,green
soff,,00:01:23:39,green
s,,00:01:23:59,green
t,,00:01:24:30,green
t,,00:01:25:01,green
s,,00:01:26:02,green
t,,00:01:26:22,green
s,,00:01:26:43,green
t,,00:01:27:24,green
s,,00:01:27:44,green
t,,00:01:28:05,green
oon,,00:01:28:45,green
ooff,,00:01:29:06,green
o,,00:01:29:26,green
x,,00:01:29:56,green
x,,00:01:30:28,green
x,,00:01:31:29,green
o,,00:01:31:49,green
x,,00:01:32:09,green
o,,00:01:32:51,green
x,,00:01:33:11,green
o,,00:01:33:31,green
son,,00:01:34:12,green
soff,,00:01:34:34,green
s,,00:01:34:54,green
t,,00:01:35:25,green
t,,00:01:35:56,green
s,,00:01:36:57,green
t,,00:01:37:17,green
s,,00:01:37:37,green
t,,00:01:38:19,green
s,,00:01:38:39,green
t,,00:01:39:00,green
ton,,00:01:39:40,green
toff,,00:01:42:24,green
